Herbert D. Schwetman,2
Wen-Ching Yu,2
Reuven Y. Rubinstein,2
John S. Zuk,2
Paul Reynolds,2
Marios C. Angelides,2
Harald Niederreiter,2
Vlatka Hlupic,2
Bruce A. Cota,2
Steven C. Bruell,2
Shay-Ping T. Wang,2
Enver Yucesan,2
Edward J. Williams,2
Yu-Chao Chu,2
Richard C. Wilson,2
John M. Dutton,2
John Zahorjan,2
James D. Palmer,2
William A. Bailey Jr.,2
Jay B. Ghosh,2
David A. White,2
Athanassios N. Avramidis,2
John Carson,2
M. Rohrer,2
Susan M. Sanchez,2
Joseph G. Macro,2
Nur E. Ozdemirel,2
Beth C. Carpenter,2
Martin Pfaff,2
Subramanian Prakash,2
P. W. U. Graefe,2
Adrienne Bloss,2
Barry L. Bateman,2
Ronald L. Iman,2
M.A.F. Wagner,2
Ronald Segal,2
M. Palmer Terrell,2
Robert E. Markland,2
Donald F. Blumberg,2
Michael P. Bailey,2
John R. Clymer,2
R.E. Nance,2
Susan S. Baum,2
Sarah J. Hood,2
Marcia A. Metcalfe,2
Victor S. Frost,2
Walter L. Whipple,2
Arturo I. Concepcion,2
John Comfort,2
Otis F. Bryan Jr.,2
Arnold Buss,2
Yueh-Min Huang,2
David F. Foster,2
Ralph M. May,2
Mark M. Mekaru,2
Devendra Kumar,2
Mark L. Spearman,2
Susumu Tsuhara,2
Victor E. Middleton,2
Bruno R. Preiss,2
Michael Keenan,2
J.M. Calvin,2
Daryl B. Simons,2
A. J. Parker,2
Stephen L. Robinson,2
Daniel J. Muller,2
Richard Conway,2
Stewart Robinson,2
E.D. Katz,2
Belva J. Cooley,2
W. Swart,2
Sabah U. Randhawa,2
James M. Kraushaar,2
J.W. Schmidt,2
A. Alan B. Pritaker,2
Marilyn S. Sanfilippo,2
Kevin T. Ryan,2
Erwin S. Strauss,2
Frederick Wieland,2
Wei-Ning Yang,2
Pandu R. Tadikamalla,2
Ronald Dattero,2
Chien-Chun Chou,2
Michael B. Thompson,2
Raymond H. Myers,2
Eric S. Grajo,2
Jean O'Reilly,2
Trevor I. Miles,2
P. L'Ecuyer,2
Steven J. Wourms,2
Wade H. Shaw Jr.,2
Stuart Gittlitz,2
Michael K. Ogle,2
T.J. Schriber,2
Edward F. Stafford Jr.,2
Janche Sang,2
Jon R. Hill,2
Ralph Forsaith,2
Donald Margolis,2
J. Harold Pardue,2
E. Joseph Derrick,2
James R. Coakley,2
Ward Whitt,2
J.J. Swain,2
Thomas J. Hindelang,2
Howard Frank,2
Suraj M. Alexander,2
David P. Christy,2
Cindy Morey,2
Darrell W. Starks,2
Wen-Toh Liao,2
Newell E. Chiesl,2
Vadivelu Jeyabalan,2
Gerald R. Armstrong,2
John O'Keefe IV,2
Steven A. Weiner,2
Sayed A. Banawan,2
Paul L. Tuan,2
Myron Uretsky,2
Halim Damerdji,2
Benjamin Melamed,2
Leland T. Blank,2
Susumu Seki,2
Daniel P. Heyman,2
John McLeod,2
Wei-Bo Gong,2
Sanjai Narain,2
Edward J. Dudewicz,2
Der-Fa Robert Chen,2
Mark J. Kiemele,2
Ron Guilmette,2
Larry Mellon,2
Henry C. Alberts,2
D. Goldsman,2
Peter Glynn,2
Robert D. Landel,2
Ricki G. Ingalls,2
Edmond Chin-Ping Chang,2
Kailash M. Bafna,2
David Krahl,2
Gary L. Hogg,2
Gary E. Whitehouse,2
Madhav Rangaswami,2
Yoichi Akiba,2
Michael E. Kuhl,2
Jhyfang Hu,2
K.W. Bauer,2
Bruce A. Powell,2
Lance M. Roark,2
Alan Weiss,2
David Withers,2
Steven G. Vincent,2
Barbara M. Werner,2
D.J. Morrice,2
George Hvidsten,2
Chia Shun Shih,2
David W. Balmer,2
Haruhisa Hasegawa,2
Diane P. Bischak,2
Warren E. Blaisdell,2
G.M. Clark,2
Joseph W. Coleman,2
Conrado M. Gempesaw II,2
Y. V. Reddy,2
Saad Harous,2
Carolyn D. Tobin,2
John W. Dalle Molle,2
W.R. Lilegdon,2
Andrew J. Lipinski,2
George Fishman,2
Thomas Schulze,2
B.W. Schmeiser,2
J. W. Grant,2
Herbert E. Phillips,2
Ralph V. Rogers,2
R. D. Doering,2
Andrew R. Gilman,2
Masanori Fushimi,2
Keun Hyung Lee,2
John K. Jackman,2
G. Anandalingam,2
Steve Hatami,2
Wallace W. White,2
Julie C. Lowery,2
Stephen S. Lavenberg,2
Frank J. Matejcik,2
Catherine W. Stein,2
Stewart V. Hoover,2
Andre Fourcans,2
Paul F. Auclair,2
John A. Buzacott,2
W.V. Neisius,2
Springer Cox,2
Lori S. Cook,2
H. K. Eldin,2
James J. Browne,2
James A. Chisman,2
Kenneth F. Siler,2
Donald R. Drew,2
John M. Gleason,2
Ronald M. Huhn,2
Norman C. Otto,2
John R. Hoffman,2
Mary A. Johnson,2
Paul M. Mellema,2
Martin I. Reiman,2
B. J. Schroer,2
William W. Williams,2
William A. Stout Jr.,2
D. Brent Bandy,2
Bahram Keramati,2
J. Banks,2
Larry F. Huggins,2
Suleyman Sevinc,2
W.R. Franta,2
J. Haddock,2
Chell A. Roberts,2
Fred W. Mill,2
Robert M. Peart,2
Duane R. Ball,2
Patrick J. Starr,2
Jin Wang,2
V. Hlupic,2
Kelwyn A. D'Souza,2
E. C. Russell,2
Boris Lubachevsky,2
Saul Fast,2
J. B. Sinclair,2
K. Heinz Weigl,2
M. W. Shiveley,2
Paul Sanchez,2
J. P. Killus,2
Narsingh Deo,2
T. J. Schriber,2
James Schier,2
Thanos N. Avramidis,2
Peter J. Wong,2
John M. Burt Jr.,2
David B. Pratt,2
Ruth M. Davies,2
Philip M. Wolfe,2
Phillip Cobbin,2
Rolf Clark,2
Jian-Qiang Hu,2
Jean G. Vaucher,2
Everett L. Johnson,2
Gerald Miller,2
Carter L. Franklin II,2
Francis D. Tuggle,2
R.R. Barton,2
John A. Miller,2
Golgen Bengu,2
John Cleary,2
Royce Townsend,2
Dharmaraj Veeramani,2
Thomas E. Bell,2
Liang Y. Liu,2
Marc A. Laymon,2
G.W. Evans,1
A.G. Togias,1
Norman I. Agin,1
Paul D. Amer,1
Tasker Generes,1
R. L. Tummala,1
Gerald Creaven,1
Edward Cohen,1
Edward R. Broad Jr.,1
R. Paterson,1
Edward J. Engall,1
Thomas Ernst,1
M. Moussavi,1
D. Bacon,1
Howard Blum,1
Charles Beightler,1
W.J. Porthouse,1
J. Beaudoin,1
Nataly Giroux,1
Arnold Ockene,1
Leslie D. Interrante,1
Sheikh Burhanuddin,1
William M. Rand,1
C.M. Watson,1
Glenn A. Meredith,1
Sarah J. Wood,1
L.M. Leemis,1
Donald E. Falkenburg,1
Stephen A. Szygenda,1
Paul f. Auclair,1
Catherine Hurley,1
Daniel Martin,1
J. O. Henriksen,1
Jack Dynis,1
F. Chance,1
Kathleen B. Hogan,1
Lawrence Bacher,1
Bela Collins,1
B. Nordgren,1
Mohsen Pazirandeh,1
Dan H. Barnes,1
Charles A. DeFelice,1
Bjorn Myhrhaug,1
S. Fujii,1
J. Misra,1
William F. Flanigan Jr.,1
Wayne H. Wagner,1
James Wang,1
Harry Delcher,1
Burton Simon,1
James A. Bucklew,1
Maclyn L. Clouse,1
John J. Wilson,1
Edward Dudewicz,1
H. Schwetman,1
Morton Norman,1
J. M. Cargal,1
Ulrich Dieter,1
"Kenneth W. ""Bauer",1
D. Jeffery Blumenthal,1
William A. Shrode,1
Sherif Hashem,1
Herbert H. Bell,1
R. Bagrodia,1
William K. Clarkson,1
Roderick R. Reasor,1
